year	month	positive tests	negative tests
2010	1	0	295
2010	2	1	283
2010	3	2	351
2010	4	1	356
2010	5	1	249
2010	6	1	319
2010	7	0	205
2010	8	0	172
2010	9	0	220
2010	10	0	199
2010	11	2	217
2010	12	15	229
2011	1	30	261
2011	2	9	264
2011	3	7	347
2011	4	0	253
2011	5	0	249
2011	6	1	168
2011	7	0	119
2011	8	0	130
2011	9	0	193
2011	10	0	233
2011	11	0	231
2011	12	1	235
2012	1	0	304
2012	2	2	393
2012	3	6	429
2012	4	6	284
2012	5	2	236
2012	6	0	224
2012	7	1	141
2012	8	0	171
2012	9	0	171
2012	10	0	218
2012	11	6	261
2012	12	15	286
2013	1	15	366
2013	2	9	382
2013	3	4	332
2013	4	0	375
2013	5	0	281
2013	6	0	212
2013	7	0	185
2013	8	0	170
2013	9	0	244
2013	10	0	242
2013	11	2	277
2013	12	0	323
2014	1	1	400
2014	2	6	487
2014	3	6	420
2014	4	6	364
2014	5	6	325
2014	6	1	312
2014	7	0	203
2014	8	2	215
2014	9	1	330
2014	10	0	368
2014	11	1	398
2014	12	5	447
2015	1	8	370
2015	2	26	496
2015	3	9	495
2015	4	11	422
2015	5	3	389
2015	6	1	320
2015	7	0	270
2015	8	1	290
2015	9	0	349
2015	10	1	415
2015	11	0	403
2015	12	1	493
2016	1	1	650
2016	2	9	780
2016	3	10	680
2016	4	6	551
2016	5	9	477
2016	6	1	388
2016	7	0	327
2016	8	1	343
2016	9	0	442
2016	10	0	493
2016	11	0	519
2016	12	7	683
2017	1	15	669
2017	2	34	698
2017	3	19	769
2017	4	5	573
2017	5	0	580
2017	6	0	587
2017	7	0	393
2017	8	0	406
2017	9	0	472
2017	10	0	585
2017	11	0	628
2017	12	2	723
2018	1	4	810
2018	2	13	909
2018	3	13	846
2018	4	5	580
2018	5	3	548
2018	6	3	511
2018	7	1	414
2018	8	1	405
2018	9	1	502
2018	10	1	559
2018	11	3	613
2018	12	5	802
2019	1	12	933
2019	2	39	978
2019	3	27	797
2019	4	9	777
2019	5	2	717
2019	6	1	555
2019	7	0	457
2019	8	0	480
2019	9	0	567
2019	10	1	757
2019	11	1	736
2019	12	1	763
2020	1	7	940
2020	2	0	12
